Electoral district name,Political affiliation,Given name,Surname,Votes obtained,% Votes obtained,Rejected ballots,Total number of ballots cast
Calgary Midnapore,People's Party - PPC,Colin,Kindret,558,0.8,0,73373
Calgary Midnapore,Conservative,Stephanie,Kusie,48025,65.5,0,73373
Calgary Midnapore,NDP-New Democratic Party,Austin,Mullins,2326,3.2,0,73373
Calgary Midnapore,Liberal,Sunjiv,Raval,21969,29.9,0,73373
Calgary Nose Hill,Marxist-Leninist,Peggy,Askin,115,0.2,0,61604
Calgary Nose Hill,Liberal,Tom,Becker,22281,36.2,0,61604
Calgary Nose Hill,Green Party,Addison,Fach,430,0.7,0,61604
Calgary Nose Hill,NDP-New Democratic Party,Ahmed,Khan,1975,3.2,0,61604
Calgary Nose Hill,Conservative,Michelle,Rempel Garner,36597,59.4,0,61604
Calgary Nose Hill,Parti Rhinocéros Party,Vanessa,Wang,206,0.3,0,61604
Calgary Shepard,Green Party,Robert,Frasch,302,0.5,0,65354
Calgary Shepard,Liberal,Gul,Khan,18421,28.2,0,65354
Calgary Shepard,Conservative,Tom,Kmiec,44357,67.9,0,65354
Calgary Shepard,People's Party - PPC,Donald,Legere,404,0.6,0,65354
Calgary Shepard,NDP-New Democratic Party,Tory,Tomblin,1870,2.9,0,65354
Calgary Signal Hill,NDP-New Democratic Party,Khalis,Ahmed,1652,2.4,0,69209
Calgary Signal Hill,CFP,Paul,Godard,265,0.4,0,69209
Calgary Signal Hill,Conservative,David GL,McKenzie,41629,60.1,0,69209
Calgary Signal Hill,People's Party - PPC,Grant,Strem,492,0.7,0,69209
Calgary Signal Hill,Liberal,Bryndis,Whitson,25171,36.4,0,69209
Calgary Skyview,Independent,Jag,Anand,504,1,0,48860
Calgary Skyview,NDP-New Democratic Party,Rajesh,Angral,1311,2.7,0,48860
Calgary Skyview,Independent,Scott,Calverley,609,1.2,0,48860
Calgary Skyview,Conservative,Amanpreet S.,Gill,27106,55.5,0,48860
Calgary Skyview,Liberal,Hafeez,Malik,18334,37.5,0,48860
Calgary Skyview,Independent,Minesh,Patel,996,2,0,48860
Edmonton Centre,Conservative,Sayid,Ahmed,20814,38,0,54751
Edmonton Centre,Independent,Gregory,Bell,157,0.3,0,54751
Edmonton Centre,Independent,Ronald S.,Billingsley Jr.,106,0.2,0,54751
Edmonton Centre,Christian Heritage Party,David John,Bohonos,159,0.3,0,54751
Edmonton Centre,Independent,Mike,Dutcher,138,0.3,0,54751
Edmonton Centre,Marxist-Leninist,Merryn,Edwards de la O,77,0.1,0,54751
Edmonton Centre,NDP-New Democratic Party,Trisha,Estabrooks,8458,15.4,0,54751
Edmonton Centre,Liberal,Eleanor,Olszewski,24238,44.3,0,54751
Edmonton Centre,Communist,Naomi,Rankin,134,0.2,0,54751
Edmonton Centre,People's Party - PPC,John,Ross,470,0.9,0,54751
Edmonton Gateway,Liberal,Jeremy,Hoefsloot,19340,37.1,0,52069
Edmonton Gateway,No Affiliation,Rod,Loyola,2464,4.7,0,52069
Edmonton Gateway,NDP-New Democratic Party,Madeline,Mayes,2585,5,0,52069
Edmonton Gateway,People's Party - PPC,Paul,McCormack,476,0.9,0,52069
Edmonton Gateway,Independent,Ashok,Patel,838,1.6,0,52069
Edmonton Gateway,Conservative,Tim,Uppal,26366,50.6,0,52069
Edmonton Griesbach,Communist,Alex,Boykowich,144,0.3,0,49053
Edmonton Griesbach,NDP-New Democratic Party,Blake,Desjarlais,16719,34.1,0,49053
Edmonton Griesbach,Conservative,Kerry,Diotte,22256,45.4,0,49053
Edmonton Griesbach,Green Party,Michael,Hunter,302,0.6,0,49053
Edmonton Griesbach,Marxist-Leninist,Mary,Joyce,64,0.1,0,49053
Edmonton Griesbach,Liberal,Patrick,Lennox,8936,18.2,0,49053
Edmonton Griesbach,People's Party - PPC,Thomas,Matty,440,0.9,0,49053
Edmonton Griesbach,CFP,Brent,Tyson,74,0.2,0,49053
Edmonton Griesbach,Independent,Crystal,Vargas,118,0.2,0,49053
Edmonton Manning,Conservative,Ziad,Aboultaif,26445,53.1,0,49807
Edmonton Manning,People's Party - PPC,Robert,Bard,824,1.7,0,49807
Edmonton Manning,Liberal,Blair-Marie,Coles,17603,35.3,0,49807
Edmonton Manning,NDP-New Democratic Party,Lesley,Thompson,4935,9.9,0,49807
Edmonton Northwest,NDP-New Democratic Party,Omar,Abubakar,3597,6.6,0,54579
Edmonton Northwest,People's Party - PPC,Albert,Carson,596,1.1,0,54579
Edmonton Northwest,Liberal,Lindsey,Machona,20914,38.3,0,54579
Edmonton Northwest,Conservative,Billy,Morin,29142,53.4,0,54579
Edmonton Northwest,Green Party,Colleen,Rice,330,0.6,0,54579
Edmonton Riverbend,NDP-New Democratic Party,Susan,Cake,2563,4.2,0,60382
Edmonton Riverbend,People's Party - PPC,Dwayne,Dudiak,410,0.7,0,60382
Edmonton Riverbend,Conservative,Matt,Jeneroux,30344,50.3,0,60382
Edmonton Riverbend,Liberal,Mark,Minenko,27065,44.8,0,60382
Edmonton Southeast,Communist,Corinne,Benson,268,0.6,0,47693
Edmonton Southeast,Independent,Gurleen,Chandi,292,0.6,0,47693
Edmonton Southeast,NDP-New Democratic Party,Harpreet,Grewal,2531,5.3,0,47693
Edmonton Southeast,Conservative,Jagsharan Singh,Mahal,25205,52.8,0,47693
Edmonton Southeast,People's Party - PPC,Martin,Schuetza,946,2,0,47693
Edmonton Southeast,Liberal,Amarjeet,Sohi,18451,38.7,0,47693
Edmonton Strathcona,Conservative,Miles,Berry,19773,33.1,0,59720
Edmonton Strathcona,Communist,Christian,Bourque,181,0.3,0,59720
Edmonton Strathcona,Green Party,Atul,Deshmukh,365,0.6,0,59720
Edmonton Strathcona,Independent,Graham,Lettner,251,0.4,0,59720
Edmonton Strathcona,NDP-New Democratic Party,Heather,McPherson,27959,46.8,0,59720
Edmonton Strathcona,Liberal,Ron,Thiering,10806,18.1,0,59720
Edmonton Strathcona,People's Party - PPC,David Joel,Wojtowicz,385,0.6,0,59720
Edmonton West,Liberal,Brad,Fournier,23893,39.9,0,59921
Edmonton West,People's Party - PPC,Brent,Kinzel,606,1,0,59921
Edmonton West,Conservative,Kelly,McCauley,32073,53.5,0,59921
Edmonton West,NDP-New Democratic Party,Sean,McQuillan,3223,5.4,0,59921
Edmonton West,Marxist-Leninist,Peggy,Morton,126,0.2,0,59921
Foothills,NDP-New Democratic Party,Kaitte,Aurora,1929,2.7,0,71903
Foothills,Conservative,John,Barlow,54871,76.3,0,71903
Foothills,Liberal,John,Bruinsma,13680,19,0,71903
Foothills,Green Party,Emma,Hoberg,621,0.9,0,71903
Foothills,People's Party - PPC,Paul,O'Halloran,802,1.1,0,71903
Fort McMurray--Cold Lake,Independent,Kulbir,Chawla,101,0.2,0,49259
Fort McMurray--Cold Lake,NDP-New Democratic Party,You-Ju,Choi,1332,2.7,0,49259
Fort McMurray--Cold Lake,People's Party - PPC,Alan,Clarke,903,1.8,0,49259
Fort McMurray--Cold Lake,Green Party,Brian,Deheer,290,0.6,0,49259
Fort McMurray--Cold Lake,Conservative,Laila,Goodridge,39478,80.1,0,49259
Fort McMurray--Cold Lake,Liberal,Kaitlyn,Staines,7155,14.5,0,49259
Grande Prairie,Parti Rhinocéros Party,Donovan,Eckstrom,312,0.5,0,58988
Grande Prairie,Independent,Elliot,McDavid,243,0.4,0,58988
Grande Prairie,People's Party - PPC,Shawn,McLean,838,1.4,0,58988
Grande Prairie,Liberal,Maureen,Mcleod,7102,12,0,58988
Grande Prairie,NDP-New Democratic Party,Jennifer,Villebrun,2587,4.4,0,58988
Grande Prairie,Conservative,Chris,Warkentin,47906,81.2,0,58988
Lakeland,NDP-New Democratic Party,Des,Bissonnette,2114,3.8,0,55535
Lakeland,Green Party,Bridget,Burns,408,0.7,0,55535
Lakeland,People's Party - PPC,Michael,Manchen,966,1.7,0,55535
Lakeland,Liberal,Barry,Milaney,6747,12.1,0,55535
Lakeland,Christian Heritage Party,Micheal,Speirs,345,0.6,0,55535
Lakeland,Conservative,Shannon,Stubbs,44955,80.9,0,55535
Leduc--Wetaskiwin,Liberal,Ronald,Brochu,11126,17.3,0,64251
Leduc--Wetaskiwin,United Party of Canada (UP),Kirk,Cayer,318,0.5,0,64251
Leduc--Wetaskiwin,CFP,Christopher,Everingham,145,0.2,0,64251
Leduc--Wetaskiwin,People's Party - PPC,Jose,Flores,688,1.1,0,64251
Leduc--Wetaskiwin,Conservative,Mike,Lake,48046,74.8,0,64251
Leduc--Wetaskiwin,NDP-New Democratic Party,Katherine,Swampy,3928,6.1,0,64251
Lethbridge,Green Party,Amber,Murray,457,0.7,0,66610
Lethbridge,People's Party - PPC,Clara,Piedalue,469,0.7,0,66610
Lethbridge,Christian Heritage Party,Marc,Slingerland,801,1.2,0,66610
Lethbridge,Liberal,Chris,Spearman,21940,32.9,0,66610
Lethbridge,NDP-New Democratic Party,Nathan,Svoboda,2433,3.7,0,66610
Lethbridge,Conservative,Rachael,Thomas,40510,60.8,0,66610
Medicine Hat--Cardston--Warner,NDP-New Democratic Party,Jocelyn,Johnson,2588,4.8,0,54095
Medicine Hat--Cardston--Warner,Conservative,Glen,Motz,41517,76.7,0,54095
Medicine Hat--Cardston--Warner,Liberal,Tom,Rooke,9554,17.7,0,54095
Medicine Hat--Cardston--Warner,Green Party,Andy,Shadrack,436,0.8,0,54095
Parkland,Green Party,Daniel,Birrell,531,0.7,0,71047
Parkland,Liberal,Ashley,Fearnall,12677,17.8,0,71047
Parkland,NDP-New Democratic Party,Keri,Goad,2943,4.1,0,71047
Parkland,United Party of Canada (UP),Wade,Klassen,291,0.4,0,71047
Parkland,People's Party - PPC,Jason,Lavigne,1066,1.5,0,71047
Parkland,Conservative,Dane,Lloyd,53339,75.1,0,71047
Parkland,Christian Heritage Party,Kevin,Schulthies,200,0.3,0,71047
Peace River--Westlock,Liberal,Luke,Markowski,6029,12,0,50231
Peace River--Westlock,Independent,Darrell,Teske,3011,6,0,50231
Peace River--Westlock,NDP-New Democratic Party,Landen,Tischer,2685,5.3,0,50231
Peace River--Westlock,Conservative,Arnold,Viersen,38506,76.7,0,50231
Ponoka--Didsbury,United Party of Canada (UP),Grant,Abraham,2129,3.1,0,68588
Ponoka--Didsbury,Conservative,Blaine,Calkins,56110,81.8,0,68588
Ponoka--Didsbury,People's Party - PPC,Larry,Gratton,1289,1.9,0,68588
Ponoka--Didsbury,NDP-New Democratic Party,Logan,Hooley,7419,10.8,0,68588
Ponoka--Didsbury,No Affiliation,Zarnab,Zafar,1641,2.4,0,68588
Red Deer,NDP-New Democratic Party,Elias,Assefa,2360,3.9,0,61161
Red Deer,Conservative,Burton,Bailey,43765,71.6,0,61161
Red Deer,Liberal,Ayaz,Bangash,13402,21.9,0,61161
Red Deer,People's Party - PPC,Kyla,Courte,800,1.3,0,61161
Red Deer,Green Party,Ashley,MacDonald,611,1,0,61161
Red Deer,Christian Heritage Party,Brandon,Pringle,223,0.4,0,61161
Sherwood Park--Fort Saskatchewan,Green Party,Randall,Emmons,1454,1.8,0,81639
Sherwood Park--Fort Saskatchewan,Conservative,Garnett,Genuis,53181,65.1,0,81639
Sherwood Park--Fort Saskatchewan,Liberal,Tanya,Holm,21957,26.9,0,81639
Sherwood Park--Fort Saskatchewan,CFP,Mark,Horseman,240,0.3,0,81639
Sherwood Park--Fort Saskatchewan,NDP-New Democratic Party,Chris,Jones,4086,5,0,81639
Sherwood Park--Fort Saskatchewan,People's Party - PPC,Jay,Sobel,721,0.9,0,81639
St. Albert--Sturgeon River,NDP-New Democratic Party,Dorothy,Anderson,3719,4.8,0,76957
St. Albert--Sturgeon River,People's Party - PPC,Brigitte,Cecelia,842,1.1,0,76957
St. Albert--Sturgeon River,Conservative,Michael,Cooper,49181,63.9,0,76957
St. Albert--Sturgeon River,Liberal,Lucia,Stachurski,22957,29.8,0,76957
St. Albert--Sturgeon River,Christian Heritage Party,Jeff,Willerton,258,0.3,0,76957
Yellowhead,People's Party - PPC,Vicky,Bayford,955,1.4,0,69145
Yellowhead,Liberal,Michael,Fark,17388,25.1,0,69145
Yellowhead,Christian Heritage Party,Dale,Heath,252,0.4,0,69145
Yellowhead,NDP-New Democratic Party,Avni,Soma,2753,4,0,69145
Yellowhead,Conservative,William,Stevenson,47797,69.1,0,69145
Abbotsford--South Langley,People's Party - PPC,Aeriol,Alderking,459,0.8,0,55976
Abbotsford--South Langley,Conservative,Sukhman,Gill,24126,43.1,0,55976
Abbotsford--South Langley,Liberal,Kevin,Gillies,18963,33.9,0,55976
Abbotsford--South Langley,Green Party,Melissa,Snazell,577,1,0,55976
Abbotsford--South Langley,NDP-New Democratic Party,Dharmasena,Yakandawela,2104,3.8,0,55976
Abbotsford--South Langley,Independent,Michael,de Jong,9747,17.4,0,55976
Burnaby Central,Liberal,Wade,Chang,21745,42.3,0,51442
Burnaby Central,People's Party - PPC,Richard,Farbridge,506,1,0,51442
Burnaby Central,NDP-New Democratic Party,Jagmeet,Singh,9353,18.2,0,51442
Burnaby Central,Conservative,James,Yan,19838,38.6,0,51442
Burnaby North--Seymour,Liberal,Terry,Beech,37821,59,0,64054
Burnaby North--Seymour,NDP-New Democratic Party,Michael,Charrois,4116,6.4,0,64054
Burnaby North--Seymour,Conservative,Mauro,Francis,21749,34,0,64054
Burnaby North--Seymour,People's Party - PPC,Jesse,Fulton,368,0.6,0,64054
Cariboo--Prince George,NDP-New Democratic Party,Angie,Bonazzo,4056,6.4,0,63322
Cariboo--Prince George,Green Party,Jodie,Capling,1192,1.9,0,63322
Cariboo--Prince George,Conservative,Todd,Doherty,38039,60.1,0,63322
Cariboo--Prince George,Liberal,Clinton,Emslie,19206,30.3,0,63322
Cariboo--Prince George,People's Party - PPC,Rudy,Sans,436,0.7,0,63322
Cariboo--Prince George,Independent,Kenneth B.,Thomson,213,0.3,0,63322
Cariboo--Prince George,Christian Heritage Party,Jake,Wiens,180,0.3,0,63322
Chilliwack--Hope,United Party of Canada (UP),Christopher,Adam,129,0.2,0,65756
Chilliwack--Hope,Green Party,Salina,Derish,1083,1.6,0,65756
Chilliwack--Hope,People's Party - PPC,Jeff,Galbraith,482,0.7,0,65756
Chilliwack--Hope,Liberal,Zeeshan,Khan,23256,35.4,0,65756
Chilliwack--Hope,Conservative,Mark,Strahl,36027,54.8,0,65756
Chilliwack--Hope,NDP-New Democratic Party,Teri,Westerby,4779,7.3,0,65756
Cloverdale--Langley City,Conservative,Tamara,Jansen,25607,47.8,0,53588
Cloverdale--Langley City,Liberal,Kyle,Latchford,24838,46.3,0,53588
Cloverdale--Langley City,People's Party - PPC,Jim,McMurtry,295,0.6,0,53588
Cloverdale--Langley City,NDP-New Democratic Party,Vanessa,Sharma,2350,4.4,0,53588
Cloverdale--Langley City,Green Party,Kevin Daniel,Wilkie,498,0.9,0,53588
Columbia--Kootenay--Southern Rockies,People's Party - PPC,Laurie,Baird,503,0.7,0,71018
Columbia--Kootenay--Southern Rockies,Liberal,Reggie,Goldsbury,20007,28.2,0,71018
Columbia--Kootenay--Southern Rockies,NDP-New Democratic Party,Kallee,Lins,12772,18,0,71018
Columbia--Kootenay--Southern Rockies,Green Party,Steven,Maffioli,1056,1.5,0,71018
Columbia--Kootenay--Southern Rockies,Conservative,Rob,Morrison,35830,50.5,0,71018
Columbia--Kootenay--Southern Rockies,Independent,James,Wiedrick,850,1.2,0,71018
Coquitlam--Port Coquitlam,Conservative,Iain,Black,24778,43,0,57649
Coquitlam--Port Coquitlam,Libertarian,Lewis Clarke,Dahlby,790,1.4,0,57649
Coquitlam--Port Coquitlam,NDP-New Democratic Party,Laura,Dupont,4263,7.4,0,57649
Coquitlam--Port Coquitlam,Green Party,Michael Peter,Glenister,519,0.9,0,57649
Coquitlam--Port Coquitlam,Liberal,Ron,McKinnon,27299,47.4,0,57649
Courtenay--Alberni,Liberal,Brian,Cameron,18209,22.8,0,79866
Courtenay--Alberni,People's Party - PPC,Thomas,Gamble,427,0.5,0,79866
Courtenay--Alberni,NDP-New Democratic Party,Gord,Johns,31612,39.6,0,79866
Courtenay--Alberni,Animal Protection Party,Teresa,Knight,195,0.2,0,79866
Courtenay--Alberni,Green Party,Chris,Markevich,1752,2.2,0,79866
Courtenay--Alberni,Conservative,Kris,McNichol,27602,34.6,0,79866
Courtenay--Alberni,Christian Heritage Party,Jesse,Musial,69,0.1,0,79866
Cowichan--Malahat--Langford,Green Party,Kathleen,Code,1499,2,0,76191
Cowichan--Malahat--Langford,Liberal,Blair,Herbert,21447,28.1,0,76191
Cowichan--Malahat--Langford,Conservative,Jeff,Kibble,28375,37.2,0,76191
Cowichan--Malahat--Langford,NDP-New Democratic Party,Alistair,MacGregor,24870,32.6,0,76191
Delta,NDP-New Democratic Party,Jason,McCormick,3384,5.4,0,63236
Delta,Liberal,Jill,McKnight,32305,51.1,0,63236
Delta,Conservative,Jessy,Sahota,27157,42.9,0,63236
Delta,People's Party - PPC,Natasa,Sirotic,390,0.6,0,63236
Esquimalt--Saanich--Sooke,Independent,Param,Bhatti,150,0.2,0,73165
Esquimalt--Saanich--Sooke,Conservative,Grant,Cool,21014,28.7,0,73165
Esquimalt--Saanich--Sooke,Communist,Robert,Crooks,136,0.2,0,73165
Esquimalt--Saanich--Sooke,Green Party,Ben,Homer-Dixon,1952,2.7,0,73165
Esquimalt--Saanich--Sooke,Liberal,Stephanie,McLean,36123,49.4,0,73165
Esquimalt--Saanich--Sooke,Christian Heritage Party,David,Schaafsma,159,0.2,0,73165
Esquimalt--Saanich--Sooke,NDP-New Democratic Party,Maja,Tait,13631,18.6,0,73165
Fleetwood--Port Kells,People's Party - PPC,John,Hetherington,499,1,0,48522
Fleetwood--Port Kells,Green Party,Murali,Krishnan,460,0.9,0,48522
Fleetwood--Port Kells,Conservative,Sukh,Pandher,21439,44.2,0,48522
Fleetwood--Port Kells,NDP-New Democratic Party,Shannon,Permal,2885,5.9,0,48522
Fleetwood--Port Kells,Liberal,Gurbux,Saini,23239,47.9,0,48522
Kamloops--Shuswap--Central Rockies,Conservative,Mel,Arnold,35238,52.2,0,67496
Kamloops--Shuswap--Central Rockies,People's Party - PPC,John Michael,Henry,601,0.9,0,67496
Kamloops--Shuswap--Central Rockies,NDP-New Democratic Party,Phaedra,Idzan,3660,5.4,0,67496
Kamloops--Shuswap--Central Rockies,Green Party,Owen,Madden,1702,2.5,0,67496
Kamloops--Shuswap--Central Rockies,Liberal,Ken,Robertson,26295,39,0,67496
Kamloops--Thompson--Nicola,Conservative,Frank,Caputo,32007,51.5,0,62096
Kamloops--Thompson--Nicola,Liberal,Iain,Currie,24956,40.2,0,62096
Kamloops--Thompson--Nicola,People's Party - PPC,Chris,Enns,516,0.8,0,62096
Kamloops--Thompson--Nicola,NDP-New Democratic Party,Miguel,Godau,3684,5.9,0,62096
Kamloops--Thompson--Nicola,Green Party,Jenna,Lindley,933,1.5,0,62096
Kelowna,Liberal,Stephen,Fuhr,28702,48.5,0,59177
Kelowna,Conservative,Tracy,Gray,27625,46.7,0,59177
Kelowna,NDP-New Democratic Party,Trevor,McAleese,2271,3.8,0,59177
Kelowna,Green Party,Catriona,Wright,579,1,0,59177
Langley Township--Fraser Heights,Liberal,John,Aldag,28034,42.7,0,65707
Langley Township--Fraser Heights,People's Party - PPC,Sepehr,Haghighat,629,1,0,65707
Langley Township--Fraser Heights,NDP-New Democratic Party,Holly,Isaac,2611,4,0,65707
Langley Township--Fraser Heights,Libertarian,Alex,Joehl,347,0.5,0,65707
Langley Township--Fraser Heights,Green Party,Debora,Soutar,491,0.7,0,65707
Langley Township--Fraser Heights,Conservative,Tako,Van Popta,33595,51.1,0,65707
Mission--Matsqui--Abbotsford,NDP-New Democratic Party,Jules,Côté,2728,4.6,0,59413
Mission--Matsqui--Abbotsford,Liberal,Jeff,Howe,21714,36.5,0,59413
Mission--Matsqui--Abbotsford,Green Party,John,Kidder,820,1.4,0,59413
Mission--Matsqui--Abbotsford,People's Party - PPC,Kevin,Sinclair,501,0.8,0,59413
Mission--Matsqui--Abbotsford,Conservative,Brad,Vis,33650,56.6,0,59413
Nanaimo--Ladysmith,NDP-New Democratic Party,Lisa Marie,Barron,13591,18.3,0,74145
Nanaimo--Ladysmith,Liberal,Michelle,Corfield,20693,27.9,0,74145
Nanaimo--Ladysmith,Conservative,Tamara,Kronis,26081,35.2,0,74145
Nanaimo--Ladysmith,Green Party,Paul,Manly,13486,18.2,0,74145
Nanaimo--Ladysmith,People's Party - PPC,Stephen,Welton,294,0.4,0,74145
New Westminster--Burnaby--Maillardville,NDP-New Democratic Party,Peter,Julian,17624,31.6,0,55720
New Westminster--Burnaby--Maillardville,Conservative,Indy,Panchi,17427,31.3,0,55720
New Westminster--Burnaby--Maillardville,Liberal,Jake,Sawatzky,19547,35.1,0,55720
New Westminster--Burnaby--Maillardville,Green Party,Tara,Shushtarian,741,1.3,0,55720
New Westminster--Burnaby--Maillardville,Independent,Lourence Almonte,Singh,381,0.7,0,55720
North Island--Powell River,Conservative,Aaron,Gunn,31356,38.8,0,80813
North Island--Powell River,NDP-New Democratic Party,Tanille,Johnston,26357,32.6,0,80813
North Island--Powell River,Liberal,Jennifer,Lash,21045,26,0,80813
North Island--Powell River,People's Party - PPC,Paul,Macknight,341,0.4,0,80813
North Island--Powell River,Independent,Glen,Staples,156,0.2,0,80813
North Island--Powell River,Green Party,Jessica,Wegg,1558,1.9,0,80813
North Vancouver--Capilano,People's Party - PPC,Ehsan,Arjmand,256,0.4,0,63366
North Vancouver--Capilano,NDP-New Democratic Party,Tammy,Bentz,2684,4.2,0,63366
North Vancouver--Capilano,Conservative,Stephen,Curran,21339,33.7,0,63366
North Vancouver--Capilano,Independent,Oliver,King,102,0.2,0,63366
North Vancouver--Capilano,Green Party,Andrew,Robinson,1076,1.7,0,63366
North Vancouver--Capilano,Liberal,Jonathan,Wilkinson,37909,59.8,0,63366
Okanagan Lake West--South Kelowna,Conservative,Dan,Albas,33219,50.9,0,65252
Okanagan Lake West--South Kelowna,NDP-New Democratic Party,Harpreet,Badohal,2195,3.4,0,65252
Okanagan Lake West--South Kelowna,Green Party,Louise,Lecouffe,660,1,0,65252
Okanagan Lake West--South Kelowna,People's Party - PPC,Debbie,Robinson,306,0.5,0,65252
Okanagan Lake West--South Kelowna,Liberal,Juliette,Sicotte,28779,44.1,0,65252
Okanagan Lake West--South Kelowna,CFP,Gary,Suddard,93,0.1,0,65252
Pitt Meadows--Maple Ridge,Parti Rhinocéros Party,Peter,Buddle,456,0.7,0,66611
Pitt Meadows--Maple Ridge,Conservative,Marc,Dalton,31556,47.4,0,66611
Pitt Meadows--Maple Ridge,NDP-New Democratic Party,Daniel,Heydenrych,4097,6.2,0,66611
Pitt Meadows--Maple Ridge,People's Party - PPC,Chris,Lehner,372,0.6,0,66611
Pitt Meadows--Maple Ridge,Liberal,Angie,Rowell,30130,45.2,0,66611
Port Moody--Coquitlam,Conservative,Paul,Lambert,25127,40.4,0,62246
Port Moody--Coquitlam,Green Party,Nash,Milani,519,0.8,0,62246
Port Moody--Coquitlam,Liberal,Zoe,Royer,27123,43.6,0,62246
Port Moody--Coquitlam,Marxist-Leninist,Roland,Verrier,117,0.2,0,62246
Port Moody--Coquitlam,NDP-New Democratic Party,Bonita,Zarrillo,9360,15,0,62246
Prince George--Peace River--Northern Rockies,Green Party,Mary,Forbes,1121,2.1,0,52617
Prince George--Peace River--Northern Rockies,NDP-New Democratic Party,Cory Grizz,Longley,3201,6.1,0,52617
Prince George--Peace River--Northern Rockies,Liberal,Peter,Njenga,10290,19.6,0,52617
Prince George--Peace River--Northern Rockies,People's Party - PPC,David,Watson,683,1.3,0,52617
Prince George--Peace River--Northern Rockies,Conservative,Bob,Zimmer,37322,70.9,0,52617
Richmond Centre--Marpole,Conservative,Chak,Au,23532,49.6,0,47486
Richmond Centre--Marpole,NDP-New Democratic Party,Martin,Li,2109,4.4,0,47486
Richmond Centre--Marpole,Liberal,Wilson,Miao,21232,44.7,0,47486
Richmond Centre--Marpole,Green Party,Michael,Sisler,420,0.9,0,47486
Richmond Centre--Marpole,People's Party - PPC,David,Wang,193,0.4,0,47486
Richmond East--Steveston,Liberal,Parm,Bains,25705,48.5,0,53054
Richmond East--Steveston,Green Party,Steven,Ji,499,0.9,0,53054
Richmond East--Steveston,NDP-New Democratic Party,Keefer,Pelech,2245,4.2,0,53054
Richmond East--Steveston,Conservative,Zach,Segal,24605,46.4,0,53054
Saanich--Gulf Islands,Liberal,David,Beckham,25353,31.8,0,79657
Saanich--Gulf Islands,Green Party,Elizabeth,May,31152,39.1,0,79657
Saanich--Gulf Islands,Conservative,Cathie,Ounsted,19994,25.1,0,79657
Saanich--Gulf Islands,NDP-New Democratic Party,Colin,Plant,3158,4,0,79657
Similkameen--South Okanagan--West Kootenay,People's Party - PPC,Barry,Dewar,660,1,0,68221
Similkameen--South Okanagan--West Kootenay,Conservative,Helena,Konanz,30073,44.1,0,68221
Similkameen--South Okanagan--West Kootenay,Green Party,Philip,Mansfield,1065,1.6,0,68221
Similkameen--South Okanagan--West Kootenay,Liberal,Gloria,Morgan,25390,37.2,0,68221
Similkameen--South Okanagan--West Kootenay,NDP-New Democratic Party,Linda,Sankey,11033,16.2,0,68221
Skeena--Bulkley Valley,NDP-New Democratic Party,Taylor,Bachrach,17682,39.3,0,44938
Skeena--Bulkley Valley,Liberal,Inderpal,Dhillon,4924,11,0,44938
Skeena--Bulkley Valley,Conservative,Ellis,Ross,21202,47.2,0,44938
Skeena--Bulkley Valley,Christian Heritage Party,Rod,Taylor,602,1.3,0,44938
Skeena--Bulkley Valley,Green Party,Adeana,Young,528,1.2,0,44938
South Surrey--White Rock,Conservative,Kerry-Lynne,Findlay,29924,45.7,0,65528
South Surrey--White Rock,Green Party,Christine,Kinnie,876,1.3,0,65528
South Surrey--White Rock,Liberal,Ernie,Klassen,33094,50.5,0,65528
South Surrey--White Rock,NDP-New Democratic Party,Jureun,Park,1634,2.5,0,65528
Surrey Centre,Communist,Ryan,Abbott,190,0.4,0,44070
Surrey Centre,NDP-New Democratic Party,Dominic,Denofrio,3009,6.8,0,44070
Surrey Centre,Conservative,Rajvir,Dhillon,19071,43.3,0,44070
Surrey Centre,Green Party,Krishan,Khurana,422,1,0,44070
Surrey Centre,Liberal,Randeep,Sarai,21103,47.9,0,44070
Surrey Centre,People's Party - PPC,Beverly,Tanchak,275,0.6,0,44070
Surrey Newton,Liberal,Sukh,Dhaliwal,20263,49.5,0,40975
Surrey Newton,Conservative,Harjit Singh,Gill,18023,44,0,40975
Surrey Newton,NDP-New Democratic Party,Raj Singh,Toor,2467,6,0,40975
Surrey Newton,Communist,Salman,Zafar,222,0.5,0,40975
Vancouver Centre,Conservative,Elaine,Allan,16355,30.2,0,54073
Vancouver Centre,Liberal,Hedy,Fry,29855,55.2,0,54073
Vancouver Centre,NDP-New Democratic Party,Avi,Lewis,6831,12.6,0,54073
Vancouver Centre,Green Party,Scott,MacDonald,755,1.4,0,54073
Vancouver Centre,Independent,Drew William,McPherson,65,0.1,0,54073
Vancouver Centre,People's Party - PPC,Christopher,Varga,212,0.4,0,54073
Vancouver East,Conservative,Lita,Cabal,10162,17.8,0,57101
Vancouver East,Communist,Kimball,Cariou,339,0.6,0,57101
Vancouver East,NDP-New Democratic Party,Jenny,Kwan,24885,43.6,0,57101
Vancouver East,People's Party - PPC,Meghan Emily,Murphy,329,0.6,0,57101
Vancouver East,Green Party,Nikida,Steel,1099,1.9,0,57101
Vancouver East,Liberal,Mark,Wiens,20287,35.5,0,57101
Vancouver Fraserview--South Burnaby,NDP-New Democratic Party,Manoj,Bhangu,5080,9.8,0,51847
Vancouver Fraserview--South Burnaby,Green Party,Alexander,Dow,668,1.3,0,51847
